ConditionName,ConditionSNOMED,PathogenName,PathogenTaxonID,Fatalities,CountryName,CountryISO,Admin1Name,Admin1ISO,Admin2Name,CityName,PeriodStartDate,PeriodEndDate,PartOfCumulativeCountSeries,AgeRange,Subpopulation,PlaceOfAcquisition,DiagnosisCertainty,SourceName,CountValue
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1897-11-02,1897-11-08,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,32
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1897-11-21,1897-11-27,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,12
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1897-11-28,1897-12-04,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,3
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1897-12-05,1897-12-11,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,3
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1897-12-12,1897-12-18,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1897-12-19,1897-12-25,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1898-01-02,1898-01-08,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1898-09-18,1898-09-24,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1898-09-25,1898-10-01,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,5
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1898-10-02,1898-10-08,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,9
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1898-10-09,1898-10-15,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,8
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1899-05-28,1899-06-03,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1899-08-27,1899-09-02,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1899-09-24,1899-09-30,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1899-10-01,1899-10-07,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,4
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1899-10-08,1899-10-14,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,3
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1899-10-22,1899-10-28,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,3
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1899-11-05,1899-11-11,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-07-16,1905-07-22,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,4
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-07-23,1905-07-29,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,29
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-07-30,1905-08-05,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,48
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-08-06,1905-08-12,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,54
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-08-20,1905-08-26,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,58
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-08-27,1905-09-02,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,34
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-09-03,1905-09-09,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,28
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-09-10,1905-09-16,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,20
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-09-17,1905-09-23,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,32
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-09-24,1905-09-30,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,21
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-10-01,1905-10-07,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,21
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-10-08,1905-10-14,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,22
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-10-15,1905-10-21,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,4
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-10-22,1905-10-28,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,9
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-10-29,1905-11-04,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,7
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-11-05,1905-11-11,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-11-12,1905-11-18,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1905-11-26,1905-12-02,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,ILLINOIS,US-IL,COOK COUNTY,CHICAGO,1905-10-01,1905-10-07,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,NEW YORK,US-NY,KINGS COUNTY,BROOKLYN,1888-08-05,1888-08-11,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,2
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,NEW YORK,US-NY,KINGS COUNTY,BROOKLYN,1888-10-21,1888-10-27,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,MASSACHUSETTS,US-MA,SUFFOLK COUNTY,BOSTON,1903-01-25,1903-01-31,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,WISCONSIN,US-WI,MILWAUKEE COUNTY,MILWAUKEE,1894-09-23,1894-09-29,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,8
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,MASSACHUSETTS,US-MA,MIDDLESEX COUNTY,CAMBRIDGE,1894-10-07,1894-10-13,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,2
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,KENTUCKY,US-KY,JEFFERSON COUNTY,LOUISVILLE,1888-09-16,1888-09-22,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,MASSACHUSETTS,US-MA,ESSEX COUNTY,HAVERHILL,1897-02-21,1897-02-27,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,0,UNITED STATES OF AMERICA,US,TEXAS,US-TX,GALVESTON COUNTY,GALVESTON,1907-03-16,1907-03-22,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,TEXAS,US-TX,GALVESTON COUNTY,GALVESTON,1907-03-16,1907-03-22,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,ALABAMA,US-AL,MOBILE COUNTY,MOBILE,1897-06-06,1897-06-12,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,ALABAMA,US-AL,MOBILE COUNTY,MOBILE,1897-09-12,1897-09-18,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,2
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,ALABAMA,US-AL,MOBILE COUNTY,MOBILE,1897-09-19,1897-09-25,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,5
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,ALABAMA,US-AL,MOBILE COUNTY,MOBILE,1897-09-26,1897-10-02,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,6
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,ALABAMA,US-AL,MOBILE COUNTY,MOBILE,1897-10-03,1897-10-09,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,5
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,ALABAMA,US-AL,MOBILE COUNTY,MOBILE,1897-10-10,1897-10-16,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,3
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,NEW JERSEY,US-NJ,ESSEX COUNTY,NEWARK,1901-08-18,1901-08-24,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,2
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,NEW JERSEY,US-NJ,ESSEX COUNTY,NEWARK,1905-12-24,1905-12-30,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,7
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,TENNESSEE,US-TN,SHELBY COUNTY,MEMPHIS,1897-10-24,1897-10-30,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,7
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,TENNESSEE,US-TN,SHELBY COUNTY,MEMPHIS,1897-10-31,1897-11-06,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,5
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,TENNESSEE,US-TN,SHELBY COUNTY,MEMPHIS,1897-11-07,1897-11-13,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,PENNSYLVANIA,US-PA,MONTGOMERY COUNTY,NORRISTOWN,1905-08-13,1905-08-19,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,42
